Variable_Name,Data_Type,Stata_Format,Variable_Label
ccn,str6,%9s,
year,int,%12.0g,
fac_mean_generic_rate,float,%9.0g,(mean) partd_generic_rate
fac_mean_highcost_rate,float,%9.0g,(mean) partd_high_cost_rate
fac_mean_opioid_rate,float,%9.0g,(mean) partd_opioid_rate
fac_mean_opioid_strong_rate,float,%9.0g,(mean) partd_opioid_strong_rate
fac_mean_low_value_rate,float,%9.0g,(mean) partb_low_value_rate
fac_mean_img_adv_rate,float,%9.0g,(mean) partb_imaging_adv_rate
fac_mean_img_cond_rate,float,%9.0g,(mean) partb_imaging_cond_rate
fac_mean_em_upcode_rate,float,%9.0g,(mean) partb_em_upcode_rate
fac_avg_risk_score,float,%9.0g,(mean) bene_avg_risk_scre
fac_prop_male_docs,float,%9.0g,(mean) is_male
fac_prop_female_docs,float,%9.0g,(mean) is_female
fac_prop_grad_pre1980,float,%9.0g,(mean) grad_pre_1980
fac_prop_grad_1980s,float,%9.0g,(mean) grad_1980s
fac_prop_grad_1990s,float,%9.0g,(mean) grad_1990s
fac_prop_grad_2000s,float,%9.0g,(mean) grad_2000s
fac_prop_grad_2010s,float,%9.0g,(mean) grad_2010s
fac_prop_grad_2020s,float,%9.0g,(mean) grad_2020s
fac_tot_benes,long,%12.0g,(sum) tot_benes
fac_tot_srvcs,double,%9.0g,(sum) tot_srvcs
fac_tot_chrg,double,%9.0g,(sum) tot_sbmtd_chrg
fac_bene_feml,long,%12.0g,(sum) bene_feml_cnt
fac_bene_male,long,%12.0g,(sum) bene_male_cnt
fac_bene_black,long,%12.0g,(sum) bene_race_black_cnt
fac_bene_hspnc,long,%12.0g,(sum) bene_race_hspnc_cnt
fac_bene_dual,long,%12.0g,(sum) bene_dual_cnt
fac_cc_depression,long,%9.0g,(sum) bene_cc_depr
fac_cc_diabetes,long,%9.0g,(sum) bene_cc_diab
fac_doc_count,long,%8.0g,(sum) partd_clms_total
fac_partd_clms_total,long,%8.0g,(sum) partd_clms_total
fac_partd_clms_opioid_all,long,%9.0g,(sum) partd_clms_opioid_all
fac_partb_srvc_total,double,%9.0g,(sum) partb_srvc_total
fac_partb_srvc_rbcs_imaging,double,%8.0g,(sum) partb_srvc_rbcs_imaging
fac_partb_srvc_em_total,double,%9.0g,(sum) partb_srvc_em_total
fac_total_work_rvu,double,%9.0g,(sum) partb_rvu_work
fac_total_fac_rvu,double,%9.0g,(sum) partb_rvu_fac_total
fac_total_nonfac_rvu,double,%9.0g,(sum) partb_rvu_nonfac_total
fac_wgt_generic_rate,float,%9.0g,
fac_wgt_highcost_rate,float,%9.0g,
fac_wgt_opioid_rate,float,%9.0g,
