Variable_Name,Data_Type,Stata_Format,Variable_Label
npi,str10,%10s,Rndrng_NPI
last_name,str70,%70s,Rndrng_Prvdr_Last_Org_Name
first_name,str20,%20s,Rndrng_Prvdr_First_Name
city,str40,%40s,Rndrng_Prvdr_City
cms_zip,str5,%9s,Rndrng_Prvdr_Zip5
tot_benes,long,%12.0g,Tot_Benes
tot_srvcs,float,%9.0g,Tot_Srvcs
tot_sbmtd_chrg,float,%9.0g,Tot_Sbmtd_Chrg
tot_alowd_amt,float,%9.0g,Tot_Mdcr_Alowd_Amt
tot_pymt_amt,float,%9.0g,Tot_Mdcr_Pymt_Amt
drug_sprsn_ind,str1,%9s,Drug_Sprsn_Ind
drug_tot_hcpcs_cds,int,%8.0g,Drug_Tot_HCPCS_Cds
drug_tot_benes,long,%12.0g,Drug_Tot_Benes
drug_tot_srvcs,float,%9.0g,Drug_Tot_Srvcs
drug_sbmtd_chrg,float,%9.0g,Drug_Sbmtd_Chrg
drug_mdcr_alowd_amt,float,%9.0g,Drug_Mdcr_Alowd_Amt
drug_mdcr_pymt_amt,float,%9.0g,Drug_Mdcr_Pymt_Amt
drug_mdcr_stdzd_amt,float,%9.0g,Drug_Mdcr_Stdzd_Amt
med_sprsn_ind,str1,%9s,Med_Sprsn_Ind
med_tot_hcpcs_cds,int,%8.0g,Med_Tot_HCPCS_Cds
med_tot_benes,long,%12.0g,Med_Tot_Benes
med_tot_srvcs,float,%9.0g,Med_Tot_Srvcs
med_sbmtd_chrg,float,%9.0g,Med_Sbmtd_Chrg
med_mdcr_alowd_amt,float,%9.0g,Med_Mdcr_Alowd_Amt
med_mdcr_pymt_amt,float,%9.0g,Med_Mdcr_Pymt_Amt
med_mdcr_stdzd_amt,float,%9.0g,Med_Mdcr_Stdzd_Amt
bene_avg_age,byte,%8.0g,Bene_Avg_Age
bene_age_lt_65_cnt,long,%12.0g,Bene_Age_LT_65_Cnt
bene_age_65_74_cnt,long,%12.0g,Bene_Age_65_74_Cnt
bene_age_75_84_cnt,long,%12.0g,Bene_Age_75_84_Cnt
bene_age_gt_84_cnt,long,%12.0g,Bene_Age_GT_84_Cnt
bene_feml_cnt,long,%12.0g,Bene_Feml_Cnt
bene_male_cnt,long,%12.0g,Bene_Male_Cnt
bene_race_wht_cnt,long,%12.0g,Bene_Race_Wht_Cnt
bene_race_black_cnt,long,%12.0g,Bene_Race_Black_Cnt
bene_race_api_cnt,long,%12.0g,Bene_Race_API_Cnt
