CarrieLocaLocality name                       Work    PE      MP     G
10102 00  Alabama                             1.000   0.886   0.611
02102 01  Alaska**                            1.500   1.107   0.712
03102 00  Arizona                             1.000   1.000   0.877
07102 13  Arkansas                            1.000   0.867   0.534
01182 26  Anaheim/Santa Ana, CA               1.035   1.216   0.908
01182 18  Los Angeles, CA                     1.047   1.161   0.908
01112 03  Marin/Napa/Solano, CA               1.059   1.286   0.496
01112 07  Oakland/Berkeley, CA                1.061   1.260   0.457
01112 05  San Francisco, CA                   1.079   1.388   0.457
01112 06  San Mateo, CA                       1.079   1.372   0.416
01112 09  Santa Clara, CA                     1.088   1.347   0.416
01182 17  Ventura, CA                         1.030   1.180   0.834
01112 99  Rest of California                  1.027   1.083   0.658
01182 99  Rest of California                  1.027   1.083   0.658
04112 01  Colorado                            1.000   1.011   1.090
13102 00  Connecticut                         1.024   1.121   1.232
12202 01  DC + MD/VA Suburbs                  1.051   1.205   1.280
12102 01  Delaware                            1.012   1.031   1.083
09102 03  Fort Lauderdale, FL                 1.000   1.030   1.715
09102 04  Miami, FL                           1.000   1.033   2.490
09102 99  Rest of Florida                     1.000   0.960   1.315
10202 01  Atlanta, GA                         1.000   1.005   0.943
10202 99  Rest of Georgia                     1.000   0.899   0.904
01212 01  Hawaii/Guam                         1.003   1.162   0.618
02202 00  Idaho                               1.000   0.898   0.508
06102 16  Chicago, IL                         1.016   1.037   2.019
06102 12  East St. Louis, IL                  1.000   0.934   1.885
06102 15  Suburban Chicago, IL                1.012   1.057   1.636
06102 99  Rest of Illinois                    1.000   0.909   1.253
08102 00  Indiana                             1.000   0.921   0.617
05102 00  Iowa                                1.000   0.896   0.493
05202 00  Kansas                              1.000   0.903   0.662
15102 00  Kentucky                            1.000   0.872   0.795
07202 01  New Orleans, LA                     1.000   0.983   1.390
07202 99  Rest of Louisiana                   1.000   0.887   1.205
14112 03  Southern Maine                      1.000   1.007   0.642
14112 99  Rest of Maine                       1.000   0.918   0.642
12302 01  Baltimore/Surr. Cntys, MD           1.023   1.097   1.181
12302 99  Rest of Maryland                    1.015   1.036   0.971
14212 01  Metropolitan Boston                 1.017   1.163   0.617
14212 99  Rest of Massachusetts               1.017   1.066   0.617
08202 01  Detroit, MI                         1.000   0.994   1.328
08202 99  Rest of Michigan                    1.000   0.920   0.954
06202 00  Minnesota                           1.000   1.020   0.319
07302 00  Mississippi                         1.000   0.864   0.613
05302 02  Metropolitan Kansas City, MO        1.000   0.952   1.025
05302 01  Metropolitan St Louis, MO           1.000   0.955   1.025
05302 99  Rest of Missouri                    1.000   0.848   0.946
03202 01  Montana ***                         1.000   1.000   1.226
05402 00  Nebraska                            1.000   0.908   0.362
01312 00  Nevada ***                          1.005   1.051   0.982
14312 40  New Hampshire                       1.000   1.058   0.873
12402 01  Northern NJ                         1.040   1.182   1.090
12402 99  Rest of New Jersey                  1.025   1.125   1.090
04212 05  New Mexico                          1.000   0.919   1.161
13202 01  Manhattan, NY                       1.052   1.168   1.764
13202 02  NYC Suburbs/Long I., NY             1.046   1.209   2.215
13202 03  Poughkpsie/N NYC Suburbs, NY        1.010   1.074   1.484
13292 04  Queens, NY                          1.052   1.199   2.181
13282 99  Rest of New York                    1.000   0.945   0.760
11502 00  North Carolina                      1.000   0.930   0.768
03302 01  North Dakota ***                    1.000   1.000   0.554
15202 00  Ohio                                1.000   0.918   0.993
04312 00  Oklahoma                            1.000   0.872   0.845
02302 01  Portland, OR                        1.005   1.049   0.708
02302 99  Rest of Oregon                      1.000   0.967   0.708
12502 01  Metropolitan Philadelphia, PA       1.021   1.087   1.264
12502 99  Rest of Pennsylvania                1.000   0.929   0.987
09202 20  Puerto Rico                         1.000   0.705   0.293
14412 01  Rhode Island                        1.022   1.053   0.759
11202 01  South Carolina                      1.000   0.912   0.715
03402 02  South Dakota***                     1.000   1.000   0.400
10302 35  Tennessee                           1.000   0.898   0.524
04412 31  Austin, TX                          1.000   1.019   0.766
04412 20  Beaumont, TX                        1.000   0.902   0.955
04412 09  Brazoria, TX                        1.019   0.990   0.955
04412 11  Dallas, TX                          1.018   1.009   0.772
04412 28  Fort Worth, TX                      1.005   0.995   0.772
04412 15  Galveston, TX                       1.019   1.013   0.955
04412 18  Houston, TX                         1.019   1.006   0.955
04412 99  Rest of Texas                       1.000   0.920   0.822
03502 09  Utah                                1.000   0.922   1.169
14512 50  Vermont                             1.000   1.004   0.682
11302 00  Virginia                            1.000   0.983   0.824
09202 50  Virgin Islands                      1.000   0.960   0.996
02402 02  Seattle (King Cnty), WA             1.025   1.155   0.495
02402 99  Rest of Washington                  1.000   1.015   0.475
11402 16  West Virginia                       1.000   0.836   1.282
06302 00  Wisconsin                           1.000   0.955   0.566
03602 21  Wyoming ***                         1.000   1.000   1.219
